hmm,param,layer,seed,R2,target
Mess3,"a=0.005, x=0.01",26,8,0.9820295446617444,real
Mess3,"a=0.005, x=0.01",27,8,0.9820848668242912,real
Mess3,"a=0.005, x=0.01",0,9,0.951467110710132,real
Mess3,"a=0.005, x=0.01",1,9,0.9642748612005492,real
Mess3,"a=0.005, x=0.01",2,9,0.9800798793859368,real
Mess3,"a=0.005, x=0.01",3,9,0.9828489175107528,real
Mess3,"a=0.005, x=0.01",4,9,0.9858903510034212,real
Mess3,"a=0.005, x=0.01",5,9,0.9859402535367328,real
Mess3,"a=0.005, x=0.01",6,9,0.986150057136088,real
Mess3,"a=0.005, x=0.01",7,9,0.98171132701423,real
Mess3,"a=0.005, x=0.01",8,9,0.9758124226215223,real
Mess3,"a=0.005, x=0.01",9,9,0.9726249336388816,real
Mess3,"a=0.005, x=0.01",10,9,0.969452502784212,real
Mess3,"a=0.005, x=0.01",11,9,0.9696979650456138,real
Mess3,"a=0.005, x=0.01",12,9,0.9750918680712696,real
Mess3,"a=0.005, x=0.01",13,9,0.9751534560716376,real
Mess3,"a=0.005, x=0.01",14,9,0.9777070711016024,real
Mess3,"a=0.005, x=0.01",15,9,0.9783122035591658,real
Mess3,"a=0.005, x=0.01",16,9,0.9788833877755752,real
Mess3,"a=0.005, x=0.01",17,9,0.9791381457328708,real
Mess3,"a=0.005, x=0.01",18,9,0.9796363616273672,real
Mess3,"a=0.005, x=0.01",19,9,0.9788041671827372,real
Mess3,"a=0.005, x=0.01",20,9,0.9795500568405786,real
Mess3,"a=0.005, x=0.01",21,9,0.9805835862936088,real
Mess3,"a=0.005, x=0.01",22,9,0.9812663076185392,real
Mess3,"a=0.005, x=0.01",23,9,0.981600837036622,real
Mess3,"a=0.005, x=0.01",24,9,0.9816179251852588,real
Mess3,"a=0.005, x=0.01",25,9,0.9818809654341444,real
Mess3,"a=0.005, x=0.01",26,9,0.9818960894093052,real
Mess3,"a=0.005, x=0.01",27,9,0.9818321196679196,real
